,P110c,P120c,P130c,P140c,P150c,P110csd,P120csd,P130csd,P140csd,P150csd
Chromite,0.00001,0.00001,0.00001,0.00001,0.00001,0.0000333,0.0000333,0.0000333,0.0000333,0.0000333
Flux,0.1125386,0.1170113,0.1193704,0.112296,0.1093822,0.0013683,0.0026087,0.0052626,0.0038448,0.0031617
Anthracite,0.831505,0.8260662,0.8189883,0.8396778,0.8355271,0.0642632,0.0409609,0.0468934,0.0667294,0.0661349
Coal,0.7259801,0.7259801,0.7259801,0.7232201,0.72874,0.0189778,0.0189778,0.0189778,0.0247464,0.0132092
Coke,0.860841,0.8695915,0.8615734,0.8594996,0.8758591,0.0247869,0.0222152,0.0869613,0.024643,0.0225624
Char,0.7757235,0.7804206,0.7693949,0.7730126,0.7813409,0.0171009,0.0199595,0.0127357,0.0125869,0.01142
Elecpaste,0.860841,0.8695915,0.8615734,0.8594996,0.8758591,0.0247869,0.0222152,0.0869613,0.024643,0.0225624
Slag,0.0031166,0.0016488,0.0029211,0.0010474,0.00262,0.0026107,0.0065811,0.0019226,0.0005601,0.0005984
Slime,0.0773625,0.1217548,0.0235,0.0188119,0.0421,0.0169317,0.0537084,0.0090139,0.0031723,0.0023134
FeCr,0.0635908,0.0735772,0.073245,0.062932,0.0651633,0.0008457,0.0015516,0.001625,0.0007524,0.0004195
