,P110m,P120m,P130m,P140m,P150m,P110msd,P120msd,P130msd,P140msd,P150msd
Chromite,36979,118726,53420,52037,85609,11457,27585,2774,3516,3797
Flux,1156,10931,4155,1809,3210,338,1552,1802,893,1188
Anthracite,6240,24651,12154,4154,11171,2050,7532,4418,2316,4983
Coal,1.00E-09,1.00E-09,1.00E-09,5109,7651,0,0,0,1471,3907
Coke,2757,5243,2175,3020,5326,2196,3547,1375,2294,4418
Char,790,3186,1285,3286,1359,181,936,658,1023,517
Elecpaste,138,398,245,242,355,110,269,155,184,294
Slag,17400,52680,25013,25457,39421,2708,8197,3892,3961,6134
Slime,473,13461,4436,1451,3912,69,1976,651,213,574
FeCr,16078,51620,23226,22625,37221,4981,11994,1206,1529,1651
